Freq_GHz,S11_dB
2.950000000000000178e+00,-1.114163047788049088e+00
2.952500000000000124e+00,-1.115187176498098287e+00
2.955000000000000071e+00,-1.116240679539515890e+00
2.957500000000000018e+00,-1.117323278482813986e+00
2.959999999999999964e+00,-1.118434708675136058e+00
2.962499999999999911e+00,-1.119574718962350168e+00
2.964999999999999858e+00,-1.120743071421948622e+00
2.967499999999999805e+00,-1.121939541106175886e+00
2.970000000000000195e+00,-1.123163915795065249e+00
2.972500000000000142e+00,-1.124415995759028952e+00
2.975000000000000089e+00,-1.125695593530464889e+00
2.977500000000000036e+00,-1.127002533684217545e+00
2.979999999999999982e+00,-1.128336652626419578e+00
2.982499999999999929e+00,-1.129697798391425811e+00
2.984999999999999876e+00,-1.131085830446499019e+00
2.987499999999999822e+00,-1.132500619503973516e+00
2.990000000000000213e+00,-1.133942047340601444e+00
2.992500000000000160e+00,-1.135410006623750689e+00
2.995000000000000107e+00,-1.136904400744255472e+00
2.997500000000000053e+00,-1.138425143655566352e+00
3.000000000000000000e+00,-1.139972159719085054e+00
